TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2025-12-31 21:25:52,1767216352868,mircal-webapp.vercel.app/api/webhook,POST,userId=caf1fe81-4f91-4146-913c-3b38b0baf145&accountId=apn_EOhWwKo&calendarId=primary,500,ls6lw-1767216352857-ebe952affdbd,pipedream/1,info,production,main,MISS,serverless,/api/webhook,mircal-webapp.vercel.app,mircal-webapp.vercel.app,dpl_7JydBpUF1NcNUJaVipBcihWfnqKZ,,,,,"Webhook received: {
  ""kind"": ""calendar#event"",
  ""etag"": ""\""3534432617302590\"""",
  ""id"": ""271u9k4ms2e52apsd3ou6vqrbc"",
  ""status"": ""confirmed"",
  ""htmlLink"": ""https://www.google.com/calendar/event?eid=MjcxdTlrNG1zMmU1MmFwc2Qzb3U2dnFyYmMgbmlja0ByYXhkaWdpdGFsLmNvbQ"",
  ""created"": ""2025-12-31T21:25:08.000Z"",
  ""updated"": ""2025-12-31T21:25:08.651Z"",
  ""summary"": ""Busy"",
  ""colorId"": ""1"",
  ""creator"": {
    ""email"": ""nick@raxdigital.com"",
    ""self"": true
  },
  ""organizer"": {
    ""email"": ""nick@raxdigital.com"",
    ""self"": true
  },
  ""start"": {
    ""date"": ""2050-11-11""
  },
  ""end"": {
    ""date"": ""2050-11-12""
  },
  ""visibility"": ""private"",
  ""iCalUID"": ""271u9k4ms2e52apsd3ou6vqrbc@google.com"",
  ""sequence"": 0,
  ""extendedProperties"": {
    ""private"": {
      ""mircal_source_account_id"": ""apn_lmhBEJD"",
      ""mircal_source_event_id"": ""poq52sh0d4bcgfk9qg0teimp58_20501111T000000Z"",
      ""mircal_source_calendar_id"": ""primary"",
      ""mircal_is_mirror"": ""true"",
      ""mircal_recurring_event_id"": ""poq52sh0d4bcgfk9qg0teimp58""
    }
  },
  ""reminders"": {
    ""useDefault"": false,
    ""overrides"": [
      {
        ""method"": ""popup"",
        ""minutes"": 10
      }
    ]
  },
  ""eventType"": ""default""
}",prj_qNboj6Tc5VprvUsAdjmjgwl0pEUN,,,,,
2025-12-31 21:25:52,1767216352868,mircal-webapp.vercel.app/api/webhook,POST,userId=caf1fe81-4f91-4146-913c-3b38b0baf145&accountId=apn_EOhWwKo&calendarId=primary,500,ls6lw-1767216352857-ebe952affdbd,pipedream/1,info,production,main,MISS,serverless,/api/webhook,mircal-webapp.vercel.app,mircal-webapp.vercel.app,dpl_7JydBpUF1NcNUJaVipBcihWfnqKZ,,,,,"Metadata from query params: {
  userId: 'caf1fe81-4f91-4146-913c-3b38b0baf145',
  accountId: 'apn_EOhWwKo',
  calendarId: 'primary'
}",prj_qNboj6Tc5VprvUsAdjmjgwl0pEUN,,,,,
2025-12-31 21:27:53,1767216473087,mircal-webapp.vercel.app/api/webhook,POST,userId=caf1fe81-4f91-4146-913c-3b38b0baf145&accountId=apn_EOhWwKo&calendarId=primary,500,ls6lw-1767216352857-ebe952affdbd,pipedream/1,error,production,main,MISS,serverless,/api/webhook,mircal-webapp.vercel.app,mircal-webapp.vercel.app,dpl_7JydBpUF1NcNUJaVipBcihWfnqKZ,,,,,"Error processing webhook: ej [Error]: TooManyRequestsError
Status code: 429
Body: {
  ""ok"": false,
  ""error"": {
    ""reason"": ""non-json"",
    ""statusCode"": 429,
    ""rawBody"": ""Throttled\n""
  }
}
    at oV.<anonymous> (/var/task/.next/server/chunks/431.js:1:104170)
    at Generator.next (<anonymous>)
    at s (/var/task/.next/server/chunks/431.js:1:102279)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5) {
  statusCode: 429,
  body: {
    ok: false,
    error: { reason: 'non-json', statusCode: 429, rawBody: 'Throttled\n' }
  },
  rawResponse: {
    headers: Headers {
      date: 'Wed, 31 Dec 2025 21:27:53 GMT',
      'transfer-encoding': 'chunked',
      connection: 'keep-alive',
      'retry-after': '127',
      'x-ratelimit-limit': '1000',
      'x-ratelimit-remaining': '0',
      'x-ratelimit-reset': '1767216600',
      vary: 'Accept-Encoding, Origin',
      'content-encoding': 'gzip',
      'cache-control': 'no-cache',
      'x-request-id': '57a36260-4c6c-4071-9a2e-00db49589190',
      'x-runtime': '0.049962'
    },
    redirected: false,
    status: 429,
    statusText: 'Too Many Requests',
    type: 'basic',
    url: 'https://api.pipedream.com/v1/connect/proj_9lsvmjZ/proxy/aHR0cHM6Ly93d3cuZ29vZ2xlYXBpcy5jb20vY2FsZW5kYXIvdjMvY2FsZW5kYXJzL3ByaW1hcnkvZXZlbnRzLzI3MXU5azRtczJlNTJhcHNkM291NnZxcmJj?external_user_id=caf1fe81-4f91-4146-913c-3b38b0baf145&account_id=apn_EOhWwKo'
  }
}",prj_qNboj6Tc5VprvUsAdjmjgwl0pEUN,,,,,
2025-12-31 21:25:52,1767216352857,mircal-webapp.vercel.app/api/webhook,POST,userId=caf1fe81-4f91-4146-913c-3b38b0baf145&accountId=apn_EOhWwKo&calendarId=primary,500,ls6lw-1767216352857-ebe952affdbd,pipedream/1,,production,main,MISS,serverless,/api/webhook,mircal-webapp.vercel.app,mircal-webapp.vercel.app,dpl_7JydBpUF1NcNUJaVipBcihWfnqKZ,120226,iad1,400,2048,,prj_qNboj6Tc5VprvUsAdjmjgwl0pEUN,,,01KDV4R1B1YFA2CEMYNRKMYDKP,vD6pZZQeaP9R,11
2025-12-31 21:25:52,1767216352864,mircal-webapp.vercel.app/api/webhook,POST,userId=caf1fe81-4f91-4146-913c-3b38b0baf145&accountId=apn_EOhWwKo&calendarId=primary,500,nwtxk-1767216352855-0a0d27ffd8c9,pipedream/1,info,production,main,MISS,serverless,/api/webhook,mircal-webapp.vercel.app,mircal-webapp.vercel.app,dpl_7JydBpUF1NcNUJaVipBcihWfnqKZ,,,,,"Webhook received: {
  ""kind"": ""calendar#event"",
  ""etag"": ""\""3534432616812798\"""",
  ""id"": ""8ulbbb1lkedcli8dctljikrbo4"",
  ""status"": ""confirmed"",
  ""htmlLink"": ""https://www.google.com/calendar/event?eid=OHVsYmJiMWxrZWRjbGk4ZGN0bGppa3JibzQgbmlja0ByYXhkaWdpdGFsLmNvbQ"",
  ""created"": ""2025-12-31T21:25:08.000Z"",
  ""updated"": ""2025-12-31T21:25:08.406Z"",
  ""summary"": ""Busy"",
  ""colorId"": ""1"",
  ""creator"": {
    ""email"": ""nick@raxdigital.com"",
    ""self"": true
  },
  ""organizer"": {
    ""email"": ""nick@raxdigital.com"",
    ""self"": true
  },
  ""start"": {
    ""date"": ""2033-10-05""
  },
  ""end"": {
    ""date"": ""2033-10-06""
  },
  ""visibility"": ""private"",
  ""iCalUID"": ""8ulbbb1lkedcli8dctljikrbo4@google.com"",
  ""sequence"": 0,
  ""extendedProperties"": {
    ""private"": {
      ""mircal_source_account_id"": ""apn_yghdj3b"",
      ""mircal_source_event_id"": ""f28jsfn6bi8r97oes90hp2753o_20331005T000000Z"",
      ""mircal_source_calendar_id"": ""primary"",
      ""mircal_is_mirror"": ""true"",
      ""mircal_recurring_event_id"": ""f28jsfn6bi8r97oes90hp2753o""
    }
  },
  ""reminders"": {
    ""useDefault"": false,
    ""overrides"": [
      {
        ""method"": ""popup"",
        ""minutes"": 10
      }
    ]
  },
  ""eventType"": ""default""
}",prj_qNboj6Tc5VprvUsAdjmjgwl0pEUN,,,,,
2025-12-31 21:25:52,1767216352864,mircal-webapp.vercel.app/api/webhook,POST,userId=caf1fe81-4f91-4146-913c-3b38b0baf145&accountId=apn_EOhWwKo&calendarId=primary,500,nwtxk-1767216352855-0a0d27ffd8c9,pipedream/1,info,production,main,MISS,serverless,/api/webhook,mircal-webapp.vercel.app,mircal-webapp.vercel.app,dpl_7JydBpUF1NcNUJaVipBcihWfnqKZ,,,,,"Metadata from query params: {
  userId: 'caf1fe81-4f91-4146-913c-3b38b0baf145',
  accountId: 'apn_EOhWwKo',
  calendarId: 'primary'
}",prj_qNboj6Tc5VprvUsAdjmjgwl0pEUN,,,,,
2025-12-31 21:27:53,1767216473064,mircal-webapp.vercel.app/api/webhook,POST,userId=caf1fe81-4f91-4146-913c-3b38b0baf145&accountId=apn_EOhWwKo&calendarId=primary,500,nwtxk-1767216352855-0a0d27ffd8c9,pipedream/1,error,production,main,MISS,serverless,/api/webhook,mircal-webapp.vercel.app,mircal-webapp.vercel.app,dpl_7JydBpUF1NcNUJaVipBcihWfnqKZ,,,,,"Error processing webhook: ej [Error]: TooManyRequestsError
Status code: 429
Body: {
  ""ok"": false,
  ""error"": {
    ""reason"": ""non-json"",
    ""statusCode"": 429,
    ""rawBody"": ""Throttled\n""
  }
}
    at oV.<anonymous> (/var/task/.next/server/chunks/431.js:1:104170)
    at Generator.next (<anonymous>)
    at s (/var/task/.next/server/chunks/431.js:1:102279)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5) {
  statusCode: 429,
  body: {
    ok: false,
    error: { reason: 'non-json', statusCode: 429, rawBody: 'Throttled\n' }
  },
  rawResponse: {
    headers: Headers {
      date: 'Wed, 31 Dec 2025 21:27:53 GMT',
      'transfer-encoding': 'chunked',
      connection: 'keep-alive',
      'retry-after': '127',
      'x-ratelimit-limit': '1000',
      'x-ratelimit-remaining': '0',
      'x-ratelimit-reset': '1767216600',
      vary: 'Accept-Encoding, Origin',
      'content-encoding': 'gzip',
      'cache-control': 'no-cache',
      'x-request-id': 'a03de4aa-aa4f-444f-832d-d92bbeaa9449',
      'x-runtime': '0.043004'
    },
    redirected: false,
    status: 429,
    statusText: 'Too Many Requests',
    type: 'basic',
    url: 'https://api.pipedream.com/v1/connect/proj_9lsvmjZ/proxy/aHR0cHM6Ly93d3cuZ29vZ2xlYXBpcy5jb20vY2FsZW5kYXIvdjMvY2FsZW5kYXJzL3ByaW1hcnkvZXZlbnRzLzh1bGJiYjFsa2VkY2xpOGRjdGxqaWtyYm80?external_user_id=caf1fe81-4f91-4146-913c-3b38b0baf145&account_id=apn_EOhWwKo'
  }
}",prj_qNboj6Tc5VprvUsAdjmjgwl0pEUN,,,,,
2025-12-31 21:25:52,1767216352855,mircal-webapp.vercel.app/api/webhook,POST,userId=caf1fe81-4f91-4146-913c-3b38b0baf145&accountId=apn_EOhWwKo&calendarId=primary,500,nwtxk-1767216352855-0a0d27ffd8c9,pipedream/1,,production,main,MISS,serverless,/api/webhook,mircal-webapp.vercel.app,mircal-webapp.vercel.app,dpl_7JydBpUF1NcNUJaVipBcihWfnqKZ,120204,iad1,486,2048,,prj_qNboj6Tc5VprvUsAdjmjgwl0pEUN,,,01KDV4R66DXHCB5M933MCPYB2Z,ON2cLbU3I4rY,11
2025-12-31 21:25:52,1767216352871,mircal-webapp.vercel.app/api/webhook,POST,userId=caf1fe81-4f91-4146-913c-3b38b0baf145&accountId=apn_EOhWwKo&calendarId=primary,500,gq54m-1767216352855-4307b2f754fe,pipedream/1,info,production,main,MISS,serverless,/api/webhook,mircal-webapp.vercel.app,mircal-webapp.vercel.app,dpl_7JydBpUF1NcNUJaVipBcihWfnqKZ,,,,,"Webhook received: {
  ""kind"": ""calendar#event"",
  ""etag"": ""\""3534432615111966\"""",
  ""id"": ""05nv0o1mhh2m9rv8m65c9nne2o"",
  ""status"": ""confirmed"",
  ""htmlLink"": ""https://www.google.com/calendar/event?eid=MDVudjBvMW1oaDJtOXJ2OG02NWM5bm5lMm8gbmlja0ByYXhkaWdpdGFsLmNvbQ"",
  ""created"": ""2025-12-31T21:25:07.000Z"",
  ""updated"": ""2025-12-31T21:25:07.555Z"",
  ""summary"": ""Busy"",
  ""colorId"": ""1"",
  ""creator"": {
    ""email"": ""nick@raxdigital.com"",
    ""self"": true
  },
  ""organizer"": {
    ""email"": ""nick@raxdigital.com"",
    ""self"": true
  },
  ""start"": {
    ""date"": ""2022-12-28""
  },
  ""end"": {
    ""date"": ""2022-12-29""
  },
  ""visibility"": ""private"",
  ""iCalUID"": ""05nv0o1mhh2m9rv8m65c9nne2o@google.com"",
  ""sequence"": 0,
  ""extendedProperties"": {
    ""private"": {
      ""mircal_source_account_id"": ""apn_yghdj3b"",
      ""mircal_source_event_id"": ""g1ffa61mja31bt91bj9tkjg7o0_20221228T000000Z"",
      ""mircal_source_calendar_id"": ""primary"",
      ""mircal_is_mirror"": ""true"",
      ""mircal_recurring_event_id"": ""g1ffa61mja31bt91bj9tkjg7o0""
    }
  },
  ""reminders"": {
    ""useDefault"": false,
    ""overrides"": [
      {
        ""method"": ""popup"",
        ""minutes"": 10
      }
    ]
  },
  ""eventType"": ""default""
}",prj_qNboj6Tc5VprvUsAdjmjgwl0pEUN,,,,,
2025-12-31 21:25:52,1767216352871,mircal-webapp.vercel.app/api/webhook,POST,userId=caf1fe81-4f91-4146-913c-3b38b0baf145&accountId=apn_EOhWwKo&calendarId=primary,500,gq54m-1767216352855-4307b2f754fe,pipedream/1,info,production,main,MISS,serverless,/api/webhook,mircal-webapp.vercel.app,mircal-webapp.vercel.app,dpl_7JydBpUF1NcNUJaVipBcihWfnqKZ,,,,,"Metadata from query params: {
  userId: 'caf1fe81-4f91-4146-913c-3b38b0baf145',
  accountId: 'apn_EOhWwKo',
  calendarId: 'primary'
}",prj_qNboj6Tc5VprvUsAdjmjgwl0pEUN,,,,,
